ts_utc,gpu,subset,n_offers,n_gpus,min,p10,p25,median,p75,p90,mean,cheap5,gpu_weighted_median
2026-09-25T05:35Z,RTX 3090,all,149,294,0.1163,0.1354,0.1489,0.1756,0.2548,0.3912,0.2346,0.1198,0.1754
2026-09-25T05:35Z,RTX 3090,reliable,96,183,0.1163,0.1389,0.149,0.1844,0.2691,0.4015,0.2414,0.1226,0.1737
2026-09-25T05:35Z,RTX 4090,all,218,582,0.1363,0.4011,0.4353,0.4956,0.6005,0.812,0.5651,0.2543,0.5074
2026-09-25T05:35Z,RTX 4090,reliable,164,452,0.3348,0.4011,0.4405,0.4934,0.6079,0.9988,0.58,0.3451,0.5074
2026-09-25T05:35Z,RTX 5090,all,315,1060,0.4003,0.4959,0.5356,0.6678,0.8004,0.9346,0.7044,0.4356,0.6681
2026-09-25T05:35Z,RTX 5090,reliable,248,832,0.4289,0.4763,0.5356,0.6689,0.8649,0.9598,0.7192,0.4472,0.6736
2026-09-25T05:36Z,RTX 3090,all,148,289,0.1163,0.1348,0.1489,0.1741,0.2439,0.3897,0.2204,0.1193,0.1741
2026-09-25T05:36Z,RTX 3090,reliable,93,174,0.1163,0.1431,0.1489,0.1774,0.2529,0.3906,0.2241,0.1197,0.1736
2026-09-25T05:36Z,RTX 4090,all,219,590,0.1363,0.4005,0.4289,0.4956,0.5863,0.7819,0.554,0.2488,0.5074
2026-09-25T05:36Z,RTX 4090,reliable,162,454,0.2956,0.4006,0.4306,0.4911,0.6035,0.9033,0.5669,0.3335,0.5206
2026-09-25T05:36Z,RTX 5090,all,317,1059,0.4022,0.4932,0.5356,0.6678,0.8006,0.9342,0.7027,0.436,0.6678
2026-09-25T05:36Z,RTX 5090,reliable,251,828,0.4022,0.4827,0.5352,0.6696,0.8669,0.937,0.7154,0.436,0.6704
2026-09-25T06:17Z,RTX 3090,all,158,316,0.1191,0.1354,0.1526,0.1874,0.2529,0.3903,0.2407,0.121,0.187
2026-09-25T06:17Z,RTX 3090,reliable,97,180,0.1191,0.1473,0.1611,0.1889,0.2674,0.3963,0.2548,0.1234,0.1881
2026-09-25T06:17Z,RTX 4090,all,240,650,0.1363,0.4017,0.441,0.5069,0.6015,0.8022,0.5707,0.257,0.5207
2026-09-25T06:17Z,RTX 4090,reliable,178,501,0.3289,0.4015,0.4405,0.5085,0.6607,0.9481,0.5842,0.3439,0.5336
2026-09-25T06:17Z,RTX 5090,all,319,1007,0.3356,0.4953,0.5352,0.6672,0.7763,0.9347,0.6984,0.41,0.6672
2026-09-25T06:17Z,RTX 5090,reliable,255,803,0.3356,0.4949,0.5356,0.6726,0.8006,0.9385,0.7164,0.4242,0.6711
2026-09-25T06:31Z,RTX 3090,all,169,332,0.1192,0.1348,0.1515,0.187,0.2678,0.3902,0.2406,0.1208,0.1775
2026-09-25T06:31Z,RTX 3090,reliable,111,207,0.1192,0.1348,0.1611,0.1889,0.3489,0.3948,0.2547,0.1208,0.187
2026-09-25T06:31Z,RTX 4090,all,257,682,0.1363,0.4011,0.4402,0.507,0.6022,1.0355,0.5984,0.2341,0.5221
2026-09-25T06:31Z,RTX 4090,reliable,197,527,0.2944,0.4008,0.4334,0.5074,0.6284,1.0366,0.5901,0.3123,0.523
2026-09-25T06:31Z,RTX 5090,all,310,995,0.3356,0.4976,0.5366,0.6676,0.8004,0.936,0.7077,0.3935,0.6681
2026-09-25T06:31Z,RTX 5090,reliable,245,784,0.3356,0.4999,0.5363,0.6788,0.8669,1.0116,0.7283,0.4171,0.6837
2026-09-25T06:31Z,RTX 3090,all,169,335,0.1191,0.1355,0.1515,0.1874,0.2689,0.3908,0.2431,0.1221,0.187
2026-09-25T06:31Z,RTX 3090,reliable,114,210,0.1191,0.1414,0.1613,0.2005,0.3484,0.4001,0.2573,0.1221,0.2004
2026-09-25T06:31Z,RTX 4090,all,257,682,0.1363,0.4017,0.4404,0.5069,0.6275,1.0355,0.6037,0.2515,0.5212
2026-09-25T06:31Z,RTX 4090,reliable,192,527,0.3089,0.4017,0.4405,0.5143,0.6685,1.0366,0.6037,0.3361,0.5336
2026-09-25T06:31Z,RTX 5090,all,313,1015,0.4007,0.4733,0.5344,0.6489,0.8002,0.9352,0.6992,0.4093,0.6675
2026-09-25T06:31Z,RTX 5090,reliable,247,805,0.4011,0.4748,0.5344,0.6678,0.848,0.9672,0.7184,0.4236,0.6781
2026-09-25T07:26Z,RTX 3090,all,156,302,0.1163,0.1347,0.1489,0.1878,0.2674,0.3757,0.225,0.1196,0.1872
2026-09-25T07:26Z,RTX 3090,reliable,109,199,0.1163,0.1347,0.1491,0.1889,0.3188,0.3902,0.2361,0.1196,0.197
2026-09-25T07:26Z,RTX 4090,all,252,675,0.1363,0.4011,0.4336,0.5076,0.6172,1.035,0.5966,0.2485,0.5336
2026-09-25T07:26Z,RTX 4090,reliable,196,523,0.2944,0.4011,0.4405,0.5216,0.6676,1.0366,0.5988,0.3307,0.5338
2026-09-25T07:26Z,RTX 5090,all,299,991,0.4006,0.4974,0.5356,0.6681,0.8003,0.9338,0.7033,0.4194,0.6819
2026-09-25T07:26Z,RTX 5090,reliable,234,746,0.423,0.4958,0.5356,0.6814,0.8015,0.937,0.7225,0.4377,0.7338
2026-09-25T07:26Z,RTX 5090,card:minimax-h3-solattn-edit-promptenhanced,40,40,0.503,0.5744,0.6644,0.7366,0.9247,1.1136,0.7947,0.5433,0.7361
2026-09-25T07:26Z,RTX 4090,card:minimax-h3-solattn-edit-promptenhanced,46,46,0.4022,0.4763,0.4967,0.5748,0.8028,1.2044,0.7076,0.4354,0.5659
2026-09-25T07:26Z,RTX 3090,card:minimax-h3-solattn-edit-promptenhanced,11,11,0.137,0.1889,0.3237,0.3948,0.4436,0.4844,0.439,0.265,0.3948
2026-09-25T07:26Z,ALL,card:minimax-h3-solattn-edit-promptenhanced,97,97,0.137,0.4331,0.5034,0.6711,0.8689,1.1239,0.7131,0.265,0.6711
2026-09-25T07:26Z,RTX 5090,card:minimax-h3-solattn-edit,40,40,0.5344,0.5636,0.6386,0.7363,0.9209,1.1093,0.7847,0.546,0.7356
